mirror,nation,x,y
Universidad Nacional de La Plata,Argentina,-57.9566876,-34.9124049
CSIRO,Australia,151.7279706,-32.8838396
AARNET,Australia,149.0949012,-35.3038096
Melbourne,Australia,144.9631732,-37.8142454
Wirtschaftsuniversität Wien,Austria,16.4081745,48.2138034
Basel,Belgium,7.5878261,47.5581077
Brussels,Belgium,4.3516970,50.8465573
Universidade Federal do Parana,Brazil,-51.6733592,-23.5984440
Rio de Janeiro,Brazil,-43.2093727,-22.9110137
Sao Paulo,Brazil,-46.6333824,-23.5506507
Piracicaba,Brazil,-47.6493269,-22.7251650
Sofia City,Bulgaria,23.3217359,42.6977028
"Simon Fraser University, Burnaby",Canada,-122.9178030,49.2767096
Manitoba,Canada,-97.0010380,55.0012510
University of Waterloo,Canada,-80.5452429,43.4701994
Universidad de Chile,Chile,-70.6510174,-33.4439386
Tsinghua University,China,116.3209630,40.0022905
Beijing City,China,116.3912972,39.9057136
Peking University,China,116.3039350,39.9917150
University of Science and Technology of China,China,117.2574533,31.8413821
Zhejiang University,China,120.7195312,30.5215950
Hong Kong,China,114.1628131,22.2793278
Elite Education,China,85.3282785,27.7051211
Qilu University of Technology,China,116.8052310,36.5578144
Lanzhou University,China,103.8544558,36.0504988
Nanjing University,China,118.7740883,32.0565957
Shanghai Jiao Tong University,China,121.4283949,31.2008911
Southern University of Science and Technology (SUSTech),China,113.9446081,22.5827419
Northwest A&F University (NWAFU),China,108.0641068,34.2617412
Icesi University,Colombia,-76.5292052,3.3408809
San José City,Costa Rica,-84.0795782,9.9325427
"CZ.NIC, Prague",Czech Republic,14.4513794,50.0791063
Aalborg University,Denmark,9.9753082,57.0159070
CEDIA,Ecuador,-79.0109071,-2.9077254
University of Lyon,France,-118.2884268,34.0244060
Centre National de la Recherche Scientifique Lyon,France,4.8749703,45.7807480
"IBDM, Marseille",France,5.4381369,43.2344881
Paris,France,2.3200410,48.8588897
Dortmund,Germany,7.4652789,51.5142273
Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),Germany,11.0274350,49.5728620
Dortmund,Germany,7.4652789,51.5142273
GWDG Göttingen,Germany,9.9570398,51.5609095
"University of Münster, Germany",Germany,7.5992433,51.9673422
Berlin,Germany,13.3888599,52.5170365
University of Crete,Greece,24.4496293,35.3538006
Marine Research Institute,Iceland,76.2723387,9.9879532
International Centre for Theoretical Sciences,India,77.5144391,13.1452333
Ibadan,India,3.8972497,7.3777462
Universitas Syiah Kuala,Indonesia,95.3712262,5.5692572
Ferdowsi University of Mashhad,Iran,59.5293728,36.3096482
Milano,Italy,9.1896346,45.4641943
University of Padua,Italy,-74.0013226,40.7272282
"The Institute of Statistical Mathematics, Tokyo",Japan,139.4088490,35.7121810
Yamagata University,Japan,140.3497439,38.2462459
Yeungnam University,Korea,128.7534309,35.8365403
Instituto Tecnologico Autonomo de Mexico,Mexico,-99.1998484,19.3451429
"Colegio de Postgraduados, Texcoco",Mexico,-98.9054520,19.4636297
Rabat City,Morocco,-6.8344242,34.0263781
Amsterdam,Netherlands,4.8924534,52.3730796
Amsterdam,Netherlands,4.8924534,52.3730796
University of Auckland,New Zealand,174.7737331,-36.8660955
University of Bergen,Norway,5.3511115,60.3688758
Warsaw,Poland,21.0067249,52.2319581
Faro Portugal,Portugal,-7.9351771,37.0162727
Moscow,Russia,37.6063916,55.6255780
Johannesburg,South Africa,28.0497220,-26.2050000
Vigo,Spain,-8.7117809,42.1964491
Madrid,Spain,-3.7035825,40.4167047
Umeå University,Sweden,20.3043163,63.8217762
ETH Zürich,Switzerland,7.5809473,47.5627717
"National Taiwan University, Taipei",Taiwan,121.5385210,25.0168862
Prince of Songkla University,Thailand,100.5008793,7.0072564
"Pamukkale University, Denizli",Turkey,29.1019755,37.7396901
Istanbul Gedik University,Turkey,29.2192144,40.9015011
University of Bristol,UK,-2.6304825,51.4905582
Imperial College London,UK,-0.1756407,51.4989595
University of Warwick,UK,-1.5639569,52.3813073
"Iowa State University, Ames, IA",USA,-93.6447375,42.0279608
Indiana University,USA,-86.5093526,39.1802358
University of Michigan,USA,-83.7100389,42.2942142
Washington City,USA,-118.2430755,34.0200544
"Duke University, Durham, NC",USA,-78.9442297,36.0001557
"Case Western Reserve University, Cleveland, OH",USA,-81.6007022,41.5013869
Oregon State University,USA,-123.2839236,44.5630559
Carnegie Mellon University,USA,-79.9427192,40.4441897
Pittsburgh,USA,-79.9900861,40.4416941
Oak Ridge,USA,-84.2696449,36.0103562
Abu Dhabi,United Arab Emirates,54.3774014,24.4538352
Montevideo,Uruguay,-56.1913095,-34.9058916
